datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
16/03/2018,86,6,1,245,Milk,Pregnant,33291,1387,0,0,0,0,0,0,9.5,9.2,0,0,211,180,0,0,140,8,-1,-1,-1,-1,-1,0
16/03/2018,2714,6,1,243,Milk,Pregnant,43203,1800,0,0,0,0,0,0,9.6,9.2,0,0,172,167,0,0,169,40,8,56,33,46,450,0
17/03/2018,26,23,2,322,Milk,Pregnant,30952,1289,0,0,0,0,0,0,10.5,10.3,0,0,206,186,0,0,136,8,10,85,57,17,847,0
17/03/2018,86,6,1,246,Milk,Pregnant,38385,1599,0,0,0,0,0,0,9.3,9.2,0,0,287,177,0,0,130,8,-1,-1,-1,-1,-1,0
17/03/2018,2714,6,1,244,Milk,Pregnant,36974,1540,0,0,0,0,0,0,10.5,9.2,0,0,216,166,0,0,193,21,-1,-1,-1,-1,-1,0
18/03/2018,26,23,2,323,Milk,Pregnant,35479,1478,0,0,0,0,0,0,10.9,10.5,0,0,233,187,0,0,147,7,9,84,54,20,760,0
18/03/2018,86,6,1,247,Milk,Pregnant,36337,1514,0,0,0,0,0,0,9.6,9.2,0,0,208,177,0,0,171,30,-1,-1,-1,-1,-1,0
18/03/2018,2714,6,1,245,Milk,Pregnant,40896,1704,0,0,0,0,0,0,10,9.2,0,0,179,166,0,0,180,30,10,57,40,36,571,0
19/03/2018,26,23,2,324,Milk,Pregnant,29779,1240,0,0,0,0,0,0,11,10.4,0,0,189,187,0,0,160,11,11,79,59,16,874,0
19/03/2018,86,6,1,248,Milk,Pregnant,36072,1503,0,0,0,0,0,0,9.6,9.2,0,0,175,179,0,0,113,1,-1,-1,-1,-1,-1,0
19/03/2018,2714,6,1,246,Milk,Pregnant,39957,1664,0,0,0,0,0,0,9.6,9.2,0,0,177,166,0,0,189,20,9,64,42,36,580,0
20/03/2018,26,23,2,325,Milk,Pregnant,32367,1348,0,0,0,0,0,0,10.8,10.5,0,0,227,190,0,0,159,10,12,55,46,24,658,0
20/03/2018,86,6,1,249,Milk,Pregnant,37378,1557,0,0,0,0,0,0,9.4,9.2,0,0,217,183,0,0,127,28,-1,-1,-1,-1,-1,0
20/03/2018,2714,6,1,247,Milk,Pregnant,40787,1699,0,0,0,0,0,0,9.4,9.3,0,0,176,168,0,0,171,9,-1,-1,-1,-1,-1,0
21/03/2018,26,23,2,326,Milk,Pregnant,25886,1078,0,0,0,0,0,0,10.6,10.5,0,0,194,189,0,0,124,-11,10,86,61,16,856,0
21/03/2018,86,6,1,250,Milk,Pregnant,39110,1629,0,0,0,0,0,0,9.7,9.2,0,0,206,182,0,0,136,23,-1,-1,-1,-1,-1,0
21/03/2018,2714,6,1,248,Milk,Pregnant,40622,1269,0,0,0,0,0,0,9.6,9.2,0,0,172,163,0,0,182,41,11,58,44,30,637,0
